Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
L	L64X64X12.7	1460	50.8	5.08	6.35                      
L	L64X64X9.5	1120	40.5	4.05	6.35                       
L	L64X64X7.9	942	34.8	3.48	6.35                        
L	L64X64X6.4	768	28.8	2.88	6.35                        
L	L64X64X4.8	581	22.3	2.23	6.35                        
L	L64X51X9.5	1000	38	2.14	5.08                         
L	L64X51X7.9	852	32.9	1.86	5.08                        
L	L64X51X6.4	690	27.3	1.55	5.08                        
L	L64X51X4.8	528	21.3	1.22	5.08                        
L	L64X38X6.4	611	24.7	0.666	3.81                       
L	L64X38X4.8	467	19.3	0.524	3.81                       
L	L51X51X9.5	884	19.8	1.98	5.08                        
L	L51X51X7.9	748	17.2	1.72	5.08                        
L	L51X51X6.4	609	14.4	1.44	5.08                        
L	L51X51X4.8	466	11.3	1.13	5.08                        
L	L51X51X3.2	317	7.87	0.787	5.08                       
                                                       
