Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
WT	WT265X91	11500	6910	633	27.4                        
WT	WT265X82.5	10500	6240	570	27.4                      
WT	WT265X75	9610	5620	516	27.2                         
WT	WT265X69	8840	5990	193	27.4                         
WT	WT265X61.5	7870	5290	169	27.2                       
WT	WT265X54.5	6900	4580	147	26.9                       
WT	WT265X50.5	6450	4290	135	26.9                       
WT	WT265X46	5890	3900	119	26.7                         
WT	WT265X41	5230	3510	101	26.4                         
WT	WT265X36	4560	3120	80.7	26.2                        
WT	WT265X42.5	5400	3760	63.7	26.7                      
WT	WT265X37	4750	3340	52	26.4                          
WT	WT265X33	4190	2960	42.9	26.2                        
WT	WT230X232	29500	15900	1660	28.4                     
WT	WT230X210.5	26900	14000	1470	27.7                   
WT	WT230X192	24500	12400	1310	27.2                     
WT	WT230X174.5	22100	10900	1160	26.7                   
WT	WT230X157.5	20100	9530	1020	26.2                    
WT	WT230X143	18100	8410	916	25.9                       
WT	WT230X130	16600	7530	816	25.4                       
WT	WT230X117.5	15000	6660	724	25                       
WT	WT230X106.5	13500	5910	649	24.8                     
WT	WT230X96.5	12400	5290	579	24.5                      
WT	WT230X88.5	11400	4950	524	24.1                      
WT	WT230X79	10100	4330	458	23.8                        
WT	WT230X72	9160	3900	416	23.6                         
WT	WT230X64	8190	3430	365	23.4                         
WT	WT230X56.5	7160	2990	317	23.1                       
WT	WT230X53	6710	3250	125	23.5                         
WT	WT230X48.5	6160	2940	114	23.3                       
WT	WT230X44.5	5690	2690	104	23.2                       
WT	WT230X41	5230	2480	93.7	23                          
WT	WT230X37	4740	2230	83.2	22.9                        
WT	WT230X34	4370	2170	47	22.9                          
WT	WT230X30	3790	1860	39.8	22.7                        
WT	WT230X26	3320	1670	31.9	22.5                        
WT	WT205X74.5	9480	3200	388	21.6                       
WT	WT205X66	8450	2800	338	21.3                         
WT	WT205X57	7290	2370	288	21                           
WT	WT205X50	6330	2020	248	20.8                         
WT	WT205X42.5	5410	2030	89.9	20.9                      
WT	WT205X37.5	4750	1760	77.4	20.7                      
WT	WT205X33.5	4280	1570	68.3	20.5                      
WT	WT205X30	3800	1380	59.9	20.3                        
WT	WT205X26.5	3410	1270	50.8	20.1                      
WT	WT205X23.05	2940	1140	25.8	20.2                     
WT	WT205X19.4	2480	978	19.9	19.9                       
WT	WT180X694.5	83200	43300	12800	30                    
WT	WT180X601	76800	37400	11500	29                      
WT	WT180X543	69000	30800	9820	28.4                     
WT	WT180X495	63100	25900	8660	27.4                     
WT	WT180X450	57400	21800	7660	26.7                     
WT	WT180X409	52200	18400	6780	25.7                     
WT	WT180X372	47400	15600	5990	24.9                     
WT	WT180X338.5	43200	13400	5330	24.2                   
WT	WT180X317	40500	11900	4910	23.7                     
WT	WT180X296	37700	10700	4540	23.2                     
WT	WT180X275.5	35100	9530	4140	22.8                    
WT	WT180X254.5	32500	8450	3760	22.3                    
WT	WT180X231.5	29500	7330	3360	21.7                    
WT	WT180X210.5	26800	6370	3010	21.3                    
WT	WT180X191	24400	5540	2680	20.8                      
WT	WT180X173.5	22100	4830	2400	20.4                    
WT	WT180X157	20000	4250	2140	20                        
WT	WT180X143.5	18300	3740	1940	19.7                    
WT	WT180X131	16700	3350	1740	19.3                      
WT	WT180X118.5	15100	2920	1560	19                      
WT	WT180X108	13700	2600	1410	18.8                      
WT	WT180X98	12500	2410	1140	18.6                       
WT	WT180X89.5	11400	2150	1030	18.4                     
WT	WT180X81	10300	1890	928	18.2                        
WT	WT180X73.5	9420	1700	837	18                         
WT	WT180X67	8520	1520	753	17.8                         
WT	WT180X61	7740	1710	308	18.2                         
WT	WT180X55	7030	1500	278	18                           
WT	WT180X50.5	6450	1360	253	17.8                       
WT	WT180X45.5	5780	1200	224	17.7                       
WT	WT180X39.5	5030	1150	120	17.7                       
WT	WT180X36	4560	1040	107	17.5                         
WT	WT180X32	4070	912	94.1	17.3                         
WT	WT180X28.9	3600	970	55.4	17.9                       
WT	WT180X25.5	3230	870	48.3	17.8                       
WT	WT180X22	2850	791	40.7	17.6                         
WT	WT180X19.5	2480	720	18.5	17.7                       
WT	WT180X16.45	2100	616	14.6	17.4                      
WT	WT155X250	31900	7910	2470	21.4                      
WT	WT155X227	28800	6740	2190	20.7                      
WT	WT155X207.5	26500	5870	1950	20.1                    
WT	WT155X187.5	23900	5040	1720	19.6                    
WT	WT155X171	21800	4410	1540	19.1                      
WT	WT155X156.5	19900	3830	1380	18.7                    
WT	WT155X141.5	18100	3290	1230	18.3                    
WT	WT155X126.5	16100	2820	1080	17.8                    
WT	WT155X113	14500	2430	945	17.4                       
WT	WT155X101	12900	2110	828	17                         
WT	WT155X89.5	11400	1810	716	16.7                      
WT	WT155X79	10100	1510	629	16.4                        
WT	WT155X71.5	9100	1330	562	16.2                       
WT	WT155X64.5	8260	1200	499	15.9                       
WT	WT155X58.5	7480	1070	450	15.7                       
WT	WT155X53.5	6840	966	406	15.6                        
WT	WT155X48.5	6150	857	363	15.4                        
WT	WT155X43	5500	795	223	15.5                          
WT	WT155X39.5	5020	737	199	15.3                        
WT	WT155X37	4710	778	117	15.5                          
WT	WT155X33.5	4230	691	104	15.3                        
WT	WT155X30	3770	599	91.6	15.2                         
WT	WT155X26	3340	666	50.8	15.9                         
WT	WT155X22.25	2840	562	42.5	15.7                      
WT	WT155X19.35	2460	487	36	15.5                        
WT	WT155X16.35	2090	487	9.7	15.6                       
WT	WT155X14.15	1800	420	7.83	15.4                      
WT	WT155X11.9	1520	362	5.87	15.2                       
WT	WT155X10.5	1340	319	4.91	15.1                       
WT	WT125X83.5	10600	1190	491	14.4                      
WT	WT125X74.5	9480	1020	429	14.1                       
WT	WT125X65.5	8390	866	372	13.8                        
WT	WT125X57.5	7290	724	320	13.5                        
WT	WT125X50.5	6450	620	278	13.2                        
WT	WT125X44.5	5700	537	242	13                          
WT	WT125X40	5100	462	215	12.8                          
WT	WT125X36.5	4650	416	194	12.7                        
WT	WT125X33.5	4280	425	111	12.8                        
WT	WT125X29	3700	368	93.7	12.6                         
WT	WT125X24.55	3130	321	76.2	12.4                      
WT	WT125X22.4	2850	386	34.8	13.3                       
WT	WT125X19.25	2460	327	29.3	13.1                      
WT	WT125X16.35	2090	286	23.8	12.9                      
WT	WT125X14.2	1810	278	8.95	13                         
WT	WT125X12.65	1610	252	7.41	12.9                      
WT	WT125X11.15	1430	227	6.04	12.7                      
WT	WT125X8.95	1140	181	4.54	12.5                       
WT	WT100X50	6350	454	184	11.4                          
WT	WT100X43	5510	380	156	11.1                          
WT	WT100X35.5	4550	285	127	10.8                        
WT	WT100X29.5	3790	239	102	10.5                        
WT	WT100X26	3320	201	88.7	10.3                         
WT	WT100X23.05	2940	178	77	10.2                        
WT	WT100X20.85	2660	176	45	10.2                        
WT	WT100X17.95	2280	147	38	10.1                        
WT	WT100X15.65	1990	162	20.3	10.5                      
WT	WT100X13.3	1700	142	16.6	10.3                       
WT	WT100X11.25	1430	137	7.08	10.3                      
WT	WT100X9.65	1240	120	5.66	10.2                       
WT	WT100X7.5	955	89.5	4.37	10                          
WT	WT75X18.55	2370	95.3	35.5	8.1                       
WT	WT75X14.9	1900	73.3	27.6	7.87                       
WT	WT75X11.25	1430	58.7	19.4	7.62                      
WT	WT75X12	1530	70.3	9.2	7.98                          
WT	WT75X9	1150	54.9	6.24	7.67                          
WT	WT75X6.75	865	39.5	4.58	7.49                        
WT	WT75X6.5	813	37.7	4.14	7.42                         
WT	WT65X14.05	1790	42	19	6.55                          
WT	WT65X11.9	1520	35.2	15.6	6.38                       
WT	WT50X9.65	1230	21.9	8.03	5.28                       
                                                       
