Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
W	W460X315	40200	180000	2050	52.6                      
W	W460X286	36300	161000	1830	51.8                      
W	W460X260	33200	144000	1630	50.8                      
W	W460X235	29900	127000	1440	50                        
W	W460X213	27100	114000	1290	49.5                      
W	W460X193	24700	102000	1160	49                        
W	W460X177	22600	91200	1050	48.3                       
W	W460X158	20100	79500	916	47.5                        
W	W460X144	18400	72800	837	47.2                        
W	W460X128	16300	63700	728	46.7                        
W	W460X113	14400	55400	633	46.2                        
W	W460X106	13500	48700	251	47                          
W	W460X97	12300	44500	228	46.7                         
W	W460X89	11400	41000	209	46.2                         
W	W460X82	10500	37000	187	46                           
W	W460X74	9480	33300	167	45.7                          
W	W460X68	8710	29600	93.7	46                           
W	W460X60	7610	25500	79.5	45.5                         
W	W460X52	6650	21200	63.7	45                           
W	W410X149	19000	62000	774	43.2                        
W	W410X132	16900	54100	678	42.7                        
W	W410X114	14600	46200	574	41.9                        
W	W410X100	12600	39700	495	41.4                        
W	W410X85	10800	31600	179	41.7                         
W	W410X75	9480	27400	155	41.4                          
W	W410X67	8580	24400	137	40.9                          
W	W410X60	7610	21600	120	40.6                          
W	W410X53	6840	18600	102	40.4                          
W	W410X46.1	5890	15600	51.6	40.4                       
W	W410X38.8	4950	12500	39.9	39.9                       
W	W360X1299	166000	753000	25700	59.9                   
W	W360X1202	154000	662000	23100	57.9                   
W	W360X1086	139000	595000	19600	56.9                   
W	W360X990	126000	516000	17400	54.9                    
W	W360X900	115000	450000	15300	53.1                    
W	W360X818	105000	393000	13500	51.3                    
W	W360X744	94800	342000	12000	49.8                     
W	W360X677	86500	299000	10700	48.3                     
W	W360X634	80600	275000	9820	47.5                      
W	W360X592	75500	250000	9030	46.5                      
W	W360X551	70300	226000	8280	45.5                      
W	W360X509	65200	204000	7530	44.5                      
W	W360X463	59000	180000	6700	43.4                      
W	W360X421	53700	160000	5990	42.4                      
W	W360X382	48800	142000	5370	41.7                      
W	W360X347	44200	125000	4790	40.6                      
W	W360X314	40000	111000	4290	39.9                      
W	W360X287	36600	99900	3880	39.4                       
W	W360X262	33400	89100	3490	38.6                       
W	W360X237	30100	79100	3110	38.1                       
W	W360X216	27500	71200	2820	37.6                       
W	W360X196	25000	63700	2280	37.3                       
W	W360X179	22800	57400	2060	36.8                       
W	W360X162	20600	51600	1860	36.3                       
W	W360X147	18800	46200	1670	36.1                       
W	W360X134	17100	41600	1510	35.6                       
W	W360X122	15500	36700	616	36.3                        
W	W360X110	14100	33100	558	36.1                        
W	W360X101	12900	30100	504	35.6                        
W	W360X91	11500	26600	445	35.3                         
